Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,1,age groups,18-25
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,2,2,25-35
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,3,2,36-45
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,2,4,45-55
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,1,3,55+
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,1,2,
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,2,4,
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,3,4,
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,3,2,
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,2,5,
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,2,4,
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,1,1,
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,3,3,
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,2,1,
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,3,5,
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,2,3,
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,2,1,
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,3,2,
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,2,4,
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,2,5,
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,1,1,
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,2,4,
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,2,1,
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,2,3,
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,1,4,
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,3,5,
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,1,2,
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,1,3,
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,3,3,
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,1,3,
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,3,3,
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,1,3,
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,3,2,
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,2,4,
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,1,4,
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,1,5,
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,1,4,
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,1,1,
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,2,3,
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,1,1,
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,2,4,
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,2,2,
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,2,1,
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,2,4,
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,3,1,
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,3,5,
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,1,1,
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,3,3,
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,3,4,
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,1,4,
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,1,2,
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,1,2,
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,3,3,
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,3,2,
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,1,3,
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,2,2,
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,1,2,
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,2,5,
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,2,1,
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,1,5,
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,1,2,
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,1,1,
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,3,1,
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,2,5,
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,3,4,
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,3,4,
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,1,4,
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,3,4,
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,1,2,
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,2,5,
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,1,3,
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,3,4,
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,3,1,
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,1,2,
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,1,1,
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,3,5,
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,2,1,
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,2,4,
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,1,4,
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,2,2,
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,3,5,
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,1,3,
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,3,2,
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,3,4,
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,2,3,
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,1,2,
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,1,1,
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,2,2,
